,wrapperType,artistId,collectionId,artistName,collectionName,collectionCensoredName,artistViewUrl,collectionViewUrl,artworkUrl60,artworkUrl100,collectionPrice,collectionExplicitness,trackCount,country,currency,releaseDate,primaryGenreName,previewUrl,description,kind,trackId,trackName,trackCensoredName,trackViewUrl,artworkUrl30,trackPrice,trackExplicitness,discCount,discNumber,trackNumber,trackTimeMillis,isStreamable,contentAdvisoryRating,amgArtistId,copyright
14,audiobook,2037074,1646008816,Hunter Davies,The Beatles (Unabridged),The Beatles (Unabridged),https://books.apple.com/us/author/hunter-davies/id2037074?uo=4,https://books.apple.com/us/audiobook/the-beatles-unabridged/id1646008816?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a9/d4/1d/a9d41dc7-12e1-c377-71fe-019d4d5116d2/2350-square.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a9/d4/1d/a9d41dc7-12e1-c377-71fe-019d4d5116d2/2350-square.jpg/100x100bb.jpg,19.99,notExplicit,1,USA,USD,1999-02-01T08:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/cb/e1/0e/cbe10e4c-f201-18ef-55d5-069c6b4fcca1/mzaf_14191771216598309057.std.aac.p.m4a,"This worldwide bestseller is the biography that defined a band—and an era.<br /><br />As the friend and only authorized biographer of the most famous musical group in history, Davies had full access to the Beatles—including their family, friends, and colleauges—as well as their help and encouragement in writing this biography. He spent eighteen months with them when they were at the peak of their musical genius and the pinnacle of their popularity, making a mark on history and popular culture that would never fade. Davies stayed on with the Beatles through their breakup and remained friends with the individual members afterwards, enabling him to write the continuing story of their solo careers.<br /><br />First published in 1968, this newly revised edition has added information, including a new introduction and a newly discovered song lyric by George Harrison.",,,,,,,,,,,,,,,,"© 1998 by Blackstone Audio, Inc."
15,track,136975,1474815798,The Beatles,Abbey Road (2019 Mix),Abbey Road (2019 Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/f6/db/94/f6db94bd-35f8-2806-6459-dee4fbd85c68/19UMGIM68354.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/f6/db/94/f6db94bd-35f8-2806-6459-dee4fbd85c68/19UMGIM68354.rgb.jpg/100x100bb.jpg,12.99,notExplicit,17,USA,USD,1969-09-26T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/2e/60/69/2e60690e-88b6-d589-78d4-fa7c837f07a3/mzaf_16785917704939021303.plus.aac.p.m4a,,song,1474815898.0,Here Comes the Sun,Here Comes the Sun (2019 Mix),https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/f6/db/94/f6db94bd-35f8-2806-6459-dee4fbd85c68/19UMGIM68354.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,7.0,185707.0,True,,,
16,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/back-in-the-u-s-s-r/1441133180?i=1441133197&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,17,USA,USD,1968-11-22T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/92/db/7e/92db7eb0-73df-11a5-c0f8-3c09b49ba10d/mzaf_12637010066616668216.plus.aac.p.m4a,,song,1441133197.0,Back In the U.S.S.R.,Back In the U.S.S.R.,https://music.apple.com/us/album/back-in-the-u-s-s-r/1441133180?i=1441133197&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,1.0,1.0,162453.0,True,,,
17,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/dear-prudence/1441133180?i=1441133428&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,17,USA,USD,1968-11-22T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/88/1c/72/881c723e-9bd5-0619-c803-4022e4da642a/mzaf_2961717660523968849.plus.aac.p.m4a,,song,1441133428.0,Dear Prudence,Dear Prudence,https://music.apple.com/us/album/dear-prudence/1441133180?i=1441133428&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,1.0,2.0,235773.0,True,,,
18,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/rocky-raccoon/1441133180?i=1441133857&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,17,USA,USD,1968-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/67/d5/56/67d5563f-1636-8d19-fd6a-451dddcd2929/mzaf_15933613684822892611.plus.aac.p.m4a,,song,1441133857.0,Rocky Raccoon,Rocky Raccoon,https://music.apple.com/us/album/rocky-raccoon/1441133180?i=1441133857&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,1.0,13.0,213107.0,True,,,
19,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/strawberry-fields-forever/1441133100?i=1441133101&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1967-02-13T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/e9/25/ec/e925ecac-094b-6e6f-ac31-cd150e8ff08e/mzaf_4051617625860611575.plus.aac.p.m4a,,song,1441133101.0,Strawberry Fields Forever,Strawberry Fields Forever,https://music.apple.com/us/album/strawberry-fields-forever/1441133100?i=1441133101&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,1.0,247933.0,True,,,
20,audiobook,125377525,189222494,N.N.,The Beatles - I want to hold your hand: Pop-Splits,The Beatles - I want to hold your hand: Pop-Splits,https://books.apple.com/us/author/n-n/id125377525?uo=4,https://books.apple.com/us/audiobook/the-beatles-i-want-to-hold-your-hand-pop-splits/id189222494?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/15/d8/d2/15d8d240-d232-c02c-1926-2fcab33da76e/rm_image.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/15/d8/d2/15d8d240-d232-c02c-1926-2fcab33da76e/rm_image.jpg/100x100bb.jpg,1.99,notExplicit,1,USA,USD,2006-09-05T07:00:00Z,Nonfiction,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/47/b5/8e/47b58ee5-e6e4-04da-35b7-aca557f69f5c/mzaf_4114904369302677830.std.aac.p.m4a,"Dieser Popsplit handelt von dem Beatles-Song ""I want to hold your hand"" und davon, wie Bob Dylan den Beatles das Kiffen beibrachte...<br />Der Titel ist Teil des Pop-Splits ""Lust for Life -- 21 Geschichten zu Sex, Drugs &amp; Rock'n' Roll"".",,,,,,,,,,,,,,,,© 2006 der apparat multimedia gmbh
21,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/dont-let-me-down/1441133100?i=1441133286&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1969-04-11T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/96/0c/34/960c34d1-a59e-7bdc-3af1-921da46c5a25/mzaf_13152868044789303291.plus.aac.p.m4a,,song,1441133286.0,Don't Let Me Down,Don't Let Me Down,https://music.apple.com/us/album/dont-let-me-down/1441133100?i=1441133286&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,2.0,5.0,215733.0,True,,,
22,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/i-will/1441133180?i=1441133910&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,17,USA,USD,1968-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5f/f1/32/5ff13279-7003-5906-00a4-2ee6695e366e/mzaf_8537106126305816357.plus.aac.p.m4a,,song,1441133910.0,I Will,I Will,https://music.apple.com/us/album/i-will/1441133180?i=1441133910&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,1.0,16.0,105933.0,True,,,
23,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/helter-skelter/1441133180?i=1441134207&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,13,USA,USD,1968-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7f/b2/18/7fb218e8-a685-34e1-2e3e-47bd8363fe39/mzaf_8246299374262626688.plus.aac.p.m4a,,song,1441134207.0,Helter Skelter,Helter Skelter,https://music.apple.com/us/album/helter-skelter/1441133180?i=1441134207&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,2.0,6.0,269787.0,True,,,
24,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/i-am-the-walrus/1441133100?i=1441133272&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1967-11-24T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/4e/73/2b/4e732b88-244b-83ba-7f9f-0e61ab51eb32/mzaf_2149187434989525995.plus.aac.p.m4a,,song,1441133272.0,I Am the Walrus,I Am the Walrus,https://music.apple.com/us/album/i-am-the-walrus/1441133100?i=1441133272&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,8.0,275680.0,True,,,
25,track,27068619,390798460,Shy Child,Liquid Love,Liquid Love,https://music.apple.com/us/artist/shy-child/27068619?uo=4,https://music.apple.com/us/album/the-beatles/390798460?i=390798510&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/100x100bb.jpg,6.99,notExplicit,11,USA,USD,2010-03-15T12:00:00Z,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a8/41/60/a841604e-ae62-6ab3-c818-90af7bd1fde5/mzaf_7049348694798606016.plus.aac.p.m4a,,song,390798510.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/390798460?i=390798510&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music/94/e7/6a/mzi.iwoudban.tif/30x30bb.jpg,0.99,notExplicit,1.0,1.0,5.0,264200.0,True,,,
26,track,136975,1441133180,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/happiness-is-a-warm-gun/1441133180?i=1441133681&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,notExplicit,17,USA,USD,1968-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/15/e6/ee/15e6eec1-f108-e81c-23b5-266c678a584e/mzaf_9789711783485346692.plus.aac.p.m4a,,song,1441133681.0,Happiness Is a Warm Gun,Happiness Is a Warm Gun,https://music.apple.com/us/album/happiness-is-a-warm-gun/1441133180?i=1441133681&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,1.29,notExplicit,3.0,1.0,8.0,164547.0,True,,,
27,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/across-the-universe/1441133100?i=1441133506&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1969-12-12T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/42/69/f6/4269f6aa-d0dc-820a-3f43-e92fd33b7f69/mzaf_13191744529576063718.plus.aac.p.m4a,,song,1441133506.0,Across the Universe,Across the Universe,https://music.apple.com/us/album/across-the-universe/1441133100?i=1441133506&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,2.0,13.0,229787.0,True,,,
28,track,136975,1441132965,The Beatles,The Beatles 1962-1966 (The Red Album),The Beatles 1962-1966 (The Red Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/i-want-to-hold-your-hand/1441132965?i=1441133348&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/2a/4a/e6/2a4ae63d-ada7-fa57-6f16-02eebcf72f95/18UMGIM29770.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/2a/4a/e6/2a4ae63d-ada7-fa57-6f16-02eebcf72f95/18UMGIM29770.rgb.jpg/100x100bb.jpg,19.99,notExplicit,13,USA,USD,1963-11-29T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/f0/2c/7a/f02c7a64-249a-6eb7-1976-c5ba58cc1a6c/mzaf_12259718484293318896.plus.aac.p.m4a,,song,1441133348.0,I Want to Hold Your Hand,I Want to Hold Your Hand,https://music.apple.com/us/album/i-want-to-hold-your-hand/1441132965?i=1441133348&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/2a/4a/e6/2a4ae63d-ada7-fa57-6f16-02eebcf72f95/18UMGIM29770.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,5.0,146720.0,True,,,
29,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hello-goodbye/1441133100?i=1441133273&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1967-11-24T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/d8/11/68/d81168ac-2524-224e-bd11-987d29358cb5/mzaf_15084375878962786226.plus.aac.p.m4a,,song,1441133273.0,"Hello, Goodbye","Hello, Goodbye",https://music.apple.com/us/album/hello-goodbye/1441133100?i=1441133273&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,9.0,209893.0,True,,,
30,track,829356035,1440842514,Rae Sremmurd,SremmLife 2 (Deluxe),SremmLife 2 (Deluxe),https://music.apple.com/us/artist/rae-sremmurd/829356035?uo=4,https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440842514?i=1440842851&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/22/fa/68/22fa68f2-4269-4f9d-5cda-9eca2071f0db/16UMGIM21219.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/22/fa/68/22fa68f2-4269-4f9d-5cda-9eca2071f0db/16UMGIM21219.rgb.jpg/100x100bb.jpg,11.99,cleaned,14,USA,USD,2016-08-12T12:00:00Z,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/41/da/df/41dadf48-a1e3-35ce-35b0-b3182d3fd8b2/mzaf_2973862477924332794.plus.aac.p.m4a,,song,1440842851.0,Black Beatles (feat. Gucci Mane),Black Beatles (feat. Gucci Mane),https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440842514?i=1440842851&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/22/fa/68/22fa68f2-4269-4f9d-5cda-9eca2071f0db/16UMGIM21219.rgb.jpg/30x30bb.jpg,1.29,cleaned,1.0,1.0,5.0,291890.0,True,Clean,,
